,name,slug,mc,sector,category,tagline,desc
OBITS,OBITS,obits,,,,,
RBT,Rimbit,rimbit,,,,,
SLTX,Social Lending Token,social-lending-token,,,,,
SLL,SLL,sll,,,,,
SMA,smartToken,smarttoken,,,,,
FRK,Franko,franko,,,,,
ARCT,ArbitrageCT,arbitragect,,,,,
MST,MustangCoin,mustangcoin,,,,,
CSM,Consentium,consentium-1,,,,,
TNS,Transcodium,transcodium-1,,,,,
TIDAL,Tidal Finance,tidal-finance,,Lending,Financial,,
PASL,Pascal Lite,pascal-lite,,,,,
BYC,Bytecent,bytecent,,,,,
INSN,InsaneCoin,insanecoin,,,,,
XOT,Internet of Things,internet-of-things,,,,,
SUB,Substratum,substratum,,Shared Compute,Services,,
XET,Eternal Token,eternal-token,,,,,
ANRX,AnRKey X,anrkey-x,,Gaming,Media and Entertainment,,
GHOST,Ghost,ghost,,Currencies,Financial,,Ghost is a Decentralized Proof-Of-Stake Privacy coin. Send/Receive anonymous payments using Anon or Blind addresses that are confidential using RingCT and Bulletproofs. Individuals can send public transactions that are viewable on the blockchain or shield these transactions with different levels of privacy tailored to your preference. Ghost consensus method is  (PoS) and has a decentralization community.
XBR,BitRewards,bitrewards-1,,,,,
MYR,Malaysian Ringgit,malaysian-ringgit,,,,,
GCT,GlobalCas,globalcas,,,,,
REA,Realisto,realisto-1,,,,,
GARY,President Johnson,president-johnson,,,,,
HOR,Hours Chain,hours-chain,,,,,
CSETH,CSETH,cseth,,,,,
EUR,Euro,euro,,,,,
USHB,USHB,ushb,,,,,
DML,Decentralized Machine Learning,decentralized-machine-learning,,,,Machine learning data marketplace,
MYO,Mycro,mycro,,,,,
PINKX,PantherCoin,panthercoin,,,,,
DRPU,DCORP Utility,dcorp-utility,,,,,
ENTRP,Hut34 Entropy,hut34-entropy,,AI,Infrastructure,,"the Hut34 Project is building a network to provide a unique and useful connection between those who have information and those who wish to use it. Through facilitating the connection of participants, the open exchange of data, and information, smart routing and and ranking the Hut34 network will provide information to those who need or want it."
HLM,Squorum,helium-1,,,,,
BDC,Black Diamond,black-diamond,,,,,
CHRC,CHRC,chrc,,,,,
XX,XX Network,xx-network,,Currencies,Currency,A protected digital sphere to exchange value and ideas,"The xx network is a consumer-scale online platform which enables users to share information and exchange value without exposing data about themselves to organizations who could gather and abuse it. Data protection is achieved using a new form of mixnet technology developed by Elixxir for decentralized and secure private communications. Praxxis consensus technology enables the xx network to operate without centralized control, giving decision-making power to users through a democratic governance system. Finally, Praxxis blockchain technology allows users to store and exchange value amongst each other with no middle-man and low-fees, while protecting users' identities."
BTF,Bitcoin Flash,bitcoin-flash,,,,A Bitcoin fork that supports instant transaction confirmations,"Bitcoin Flash is a Bitcoin fork focused on securing and optimizing instant transaction confirmations. 
"
888,OctoCoin,octocoin,,,,,
WUSD,Official USD token,official-usd-token,,,,,
EDT,EtherDelta Token,etherdelta-token,,,,,
PHP,Philippine Peso,philippine-peso,,,,,
THB,Thai Baht,thai-baht,,,,,
LEV,Leverj,leverj-1,,,,,
MEDIC,MedicCoin,mediccoin,,,,,
DFX,DFX,dfx,,Decentralized Exchanges,Financial,,
BWS,Bitcoin W Spectrum,bitcoin-w-spectrum,,,,,
DRS,Digital Rupees,digital-rupees,,,,,
ARE,Aureus,aureus,,,,,
ANS,ANS,ans,,,,,
BTD,Bitcoin Dollar,bitcoin-dollar,,,,An airdropped Bitcoin-branded token focused on Artificial Intelligence,"Bitcoin Dollar is an airdropped Bitcoin-branded token focused on equitable distribution and incorporating Artificial Intelligence. 
"
LGO,LGO Token,lgo-exchange,,,,,
VGX,Voyager Token,voyager-token,,Wallet,Financial,,
ONL,On.Live,on-live-1,,,,,
SMC,Spacemesh,spacemesh,,Smart Contract Platforms,Infrastructure,Proof of Space Time Blockchain,
MUSIC,Musicoin,musicoin,,,,,
DTB,Databits,databits,,,,,
POLYDOGE,PolyDoge,polydoge,,,,,
MNX,MinexCoin,minexcoin-1,,,,,
PLAN,Plancoin,plancoin-1,,,,,
BTCB,Bitcoin BEP2,bitcoin-bep2,,Currencies,Currency,Bitcoin-pegged token issued on Binance Chain,"BTCB is a Bitcoin-pegged token issued on Binance Chain. Crypto exchange Binance maintains this peg by ensuring each BTCP is 100% backed by a reserve of actual Bitcoin. Binance published the reserve address to allow interested third parties to audit the contents of the crypto exchange's Bitcoin pool and compare it to the number of issued BTCB. By introducing a Bitcoin substitute, Binance opened up the trading possibilities for users of its decentralized exchange (DEX), the primary service supported by Binance Chain."
DVRS,Diverse,diverse,,,,,
SCTK,SharesChain,shareschain,,,,,
SEND,Social Send,social-send,,,,,
INFX,Influxcoin,influxcoin,,,,,
BSCPAD,BSCPAD,bscpad,,Application Development,Services,,
NETC,NetworkCoin,networkcoin,,,,,
LEVO,Levocoin,levocoin,,,,,
RNC,ReturnCoin,returncoin,,,,,
KGB,KangarooBits,kangaroobits,,,,,
ITI,iTicoin,iticoin,,,,,
AOA,AuroraChain,aurorachain,,,,,
GRN,Granite,granite,,,,,
KAYI,Kayicoin,kayicoin,,,,,
PEC,PeaceCoin3.6,peacecoin3-6,,,,,
BGR,Bongger,bongger,,,,,
XSA,Sigma,sigma,,,,,
CALVIN,Calvin,calvin,,,,,
SETH,Sether,sether-1,,,,,
DRP,DCORP,dcorp-1,,,,,
POW,POW,pow,,,,,
SHE,ShineChain,shinechain,,,,,
UBI,Universal Basic Income,universal-basic-income,,Identity,Infrastructure,Sybil-resistant Proof of Humanity using social verification ,
UFR,Upfiring,upfiring-1,,,,,
GST,Game Stars,game-stars,,,,,
HAVECOIN,Havecoin,havecoin,,,,,
APC,Alpha Coin,alpha-coin,,,,,
LOT,Lottocoin,lottocoin,,,,,
MAC,Machinecoin,machinecoin,,,,,
DVLP,DVLP,dvlp,,,,,
BHD,Bahraini Dinar,bahraini-dinar,,,,,
JBT,Jukebucks,jukebucks,,,,,
SCC,StakeCube Coin,stakecube-coin,,,,,
CBT,CommerceBlock,commerceblock-1,,,,,
UNF,Unfed Coin,unfed-coin,,,,,
MON,MON,mon,,,,,
CDY,Bitcoin Candy,bitcoin-candy,,,,A Bitcoin Cash fork focused on quantum resistance,"Bitcoin Candy is a Bitcoin Cash hard fork focused on privacy and quantum resistance. 
"
RID,Riddler,riddler,,,,,
ATS,Authorship,authorship,,,,,
EXC,Excaliburcoin,excaliburcoin,,,,,
BSCDOG,BSCDOG,bscdog,,Currencies,Media and Entertainment,,
LOOK,LookCoin,lookcoin,,,,,
LIFE,LIFE,life,,,,,
TAN,Taklimakan Network,taklimakan-network,,Social Media,Media and Entertainment,A blockchain-based social network,Taklimakan Network is a blockchain-based social media network. 
RCCC,RCCC,rccc,,,,,
DEFI+S,PieDAO DEFI Small Cap Index,piedao-defi-small-cap-index,,Asset Management,Financial,,
PQT,PAquarium,paquarium-1,,,,,
CFC,CoffeeCoin,coffeecoin,,,,,
BRIA,BriaCoin,briacoin,,,,,
BEN,BitCoen,bitcoen,,,,,
NLC2,NoLimitCoin,nolimitcoin,,,,,
PREX,PREX,prex,,,,,
CHC,ChainCoin,chaincoin,,,,,
NCXC,NCXC,ncxc,,,,,
CJT,ConnectJob,connectjob,,,,,
QBT,Qbao,qbao-1,,,,,
LVPS,LevoPlus,levoplus,,,,,
DUTCH,Dutch Coin,dutch-coin,,,,,
XB,XB,xb,,,,,
TP1,Kolsch,kolsch,,,,,
NEOG,NEO GOLD,neo-gold,,,,,
DC,Demon,demon,,,,,
C47,Code47,code47,,,,,
BELA,Bela,bela,,,,,
QBTC,Bitcoin Quantum,bitcoin-quantum,,,,Another Bitcoin fork,"Quantum Bitcoin is a fork of Bitcoin with the self-stated goal of creating “quantum coins”. 
"
FLT,FlutterCoin,fluttercoin,,,,,
HBO,HBO,hbo,,Information,Services,,
GLOBALTOUR,Global Tour Coin,global-tour-coin,,,,,
SOLAR,Solar,solar,,,,,
FJC,FujiCoin,fujicoin,,,,,
BCU,Bitcoin Unlimited CST Bitfinex,bitcoin-unlimited-cst-bitfinex,,,,,
SWIRL,Swirl Cash,swirl-cash,,Currencies,Payments,,
CBANK,CryptoBank,cryptobank,,,,,
PLATIN,Platin Coin,platin-coin-1,,,,,
SPA,Sperax,sperax,,Smart Contract Platforms,Infrastructure,,"Sperax is a smart contract platform that uses a new consensus mechanism, known as BDLS (Blockchain DLS), for finalizing and securing transactions. It has a dual-token system. The network's native token (SPA) allows users to pay transaction fees and vote on Sperax governance proposals. The second one is an algorithmic, crypto-collateralized stablecoin, known as USDs."
REE,ReeCoin,reecoin,,,,,
UETH,UETH,ueth,,,,,
BIRD,BirdCoin,birdcoin,,,,,
NXC,Nexium,nexium,,,,,
DGM,DigiMoney,digimoney,,,,,
RMT,SureRemit,sureremit,,,,,
RNDR,Render Token,render-token,,,,Distributed GPU rendering network and marketplace built on OTOY's OctaneRender ecosystem,
NUT,Native Utility Token,native-utility-token,,,,The native governance token for Equilibrium ,Native Utility Token is the governance token circulated on Equilibrium platform built on EOS.
BFRXT,Bitforex Token,bitforex-token,,,,,
BTDOLL,BTDOLL,btdoll,,,,,
GUM,dumdum,dumdum,,,,,
BOON,BoonCoin,booncoin,,,,,
VTR,vTorrent,vtorrent,,,,,
GRC,Gridcoin,gridcoin,,,,Rewarding Scientific Distributed Computing,Gridcoin is a blockchain and cryptocurrency that rewards individuals for contributing to computational research in various academic fields 
WSUR,Suretly (Waves),suretly-waves,,,,,
BURN,BURN Coin,burn-coin,,,,,
MSD,MSD,msd,,,,,
LENIN,LeninCoin,lenincoin,,,,,
BAKE,BakerySwap,bakeryswap,,,,,
GREENF,GreenFingers,greenfingers,,,,,
GFL,GFL,gfl,,,,,
BG2,Bitcoin Gold CST Bitfinex,bitcoin-gold-cst-bitfinex,,,,,
VIDZ,PureVidz,purevidz,,,,,
RVR,RevolutionVR,revolutionvr,,,,,
ASTRAL,Astral,astral,,,,,
REGA,Regacoin,regacoin,,,,,
SJCX,Storjcoin X,storjcoin-x,,,,,
W3C,W3Coin,w3coin,,,,,
INTERNATIONALDIAMOND,InternationalDiamond,internationaldiamond,,,,,
CTL,Citadel,citadel,,,,,
BTCO,Bitcoin Coral,bitcoin-coral,,,,A Bitcoin fork token offering for decentralized banking,"Bitcoin Coral is a fork of Bitcoin with a complex infrastructure of financial tools for crypto-banking.
"
CL,Coinlancer,coinlancer-1,,,,,
MBOX,Mobox,mobox,,,,,
XCS,CybCSec,cybcsec,,,,,
SHELL,ShellCoin,shellcoin,,,,,
PENCE,PenceCoin,pencecoin,,,,,
NKT,Nakamoto Dark,nakamoto-dark,,,,,
CAID,Aid,aid,,,,,
XDE2,Xde2,xde2,,,,,
DALI,Dalichain,dalichain,,,,,
Q2C,QubitCoin,qubitcoin,,,,,
BAMI,BamitCoin,bamitcoin,,,,,
WILD,Wild Crypto,wild-crypto-1,,,,,
PBL,Publica,publica-1,,,,,
QWARK,Qwark,qwark,,,,,
LSC,Life Style Chain,life-style-chain,,,,,
UK,UKCoin,ukcoin,,,,,
DOGETH,EtherDoge,etherdoge,,,,,
BOST,BoostCoin,boostcoin,,,,,
UBTC,United Bitcoin,united-bitcoin,,,,A Bitcoin fork for issuing stablecoins and recirculating old bitcoins,"United Bitcoin is a Bitcoin fork prioritizing stable value and re-purposing old Bitcoin addresses.
"
MGM,Magnum,magnum,,,,,
MULTI,MULTI,multi,,,,,
BKB,BetKing Bankroll Token,betking-bankroll-token,,,,,
DUX,DuxCoin,duxcoin,,,,,
PKB,ParkByte,parkbyte,,,,,
BAN,Babes and Nerds,babes-and-nerds,,,,,
EURT,Tether Euros,tether-euros,,,,,
OZC,OzzieCoin,ozziecoin,,,,,
POKE,POKE,poke,,,,,
BLUX,BitLux,bitlux,,,,,
REPO,REPO,repo,,,,,
RCX,RedCrowCoin,redcrowcoin,,,,,
EAG,EA Coin,ea-coin,,,,,
FIDEL,Fidel Castro,fidel-castro,,,,,
PEXT,PEXT,pext,,,,,
TAP,TappingCoin,tappingcoin,,,,,
OIL,Oiler,oiler,,Decentralized exchanges,Financial,DeFi options trading platform,Oiler is a decentralized exchange that allows users to trade options on a blockchain attributes such as gas fee or hashrate. 
MGT,Magnatum,magnatum,,,,,
BRICKTOX,Bricktox,bricktox-1,,,,,
CYT,Cryptokenz,cryptokenz,,,,,
DAX,DAEX,daex-1,,,,,
PITCH,Pitch,pitch,,,,,
VZT,Vezt,vezt-1,,,,,
SHM,Saham,saham,,,,,
VOLT,Bitvolt,bitvolt,,,,,
GCS,GameChain System,gamechain-system,,,,,
INR,Indian Rupee,indian-rupee,,,,,
POLCOIN,Polcoin,polcoin,,,,,
DFY,Defi For You,defi-for-you,,,,,
RABBIT,RABBIT,rabbit,,,,,
MNB,MoneyBag,moneybag,,,,,
DEGEN,Indexed DEGEN Index,indexed-degen-index,,Asset Management,Financial,,Indexed product by Indexed Finance. 
ELI,GoCrypto Token,eligma-token,,,,,
ARM,Armory Coin,armory-coin,,,,,
EG9C,EcoG9Coin,ecog9coin,,,,,
HZT,HazMatCoin,hazmatcoin,,,,,
CARE,Carebit,carebit,,,,,
BPC,BITPARK COIN,bitpark-coin,,,,,
LDOGE,LiteDoge,litedoge,,,,,
COC,Community Coin,community-coin,,,,,
OX,OX Fina,ox-fina,,,,,
ENRG,Energycoin,energycoin,,,,,
XYOC,YocoinClassic,yocoinclassic,,,,,
BRX,Breakout Stake,breakout-stake,,,,,
NAVI,Naviaddress,naviaddress-1,,,,,
BTH,Bytether ,bytether,,,,,
RUNNERS,Runners,runners,,,,,
YRX,YRX,yrx,,,,,
DGCS,Digitalcredits,digitalcredits,,,,,
MALC,MalaysiaCoin,malaysiacoin,,,,,
RATING,DPRating,dprating,,,,,
NSR,NuShares,nushares,,,,,
SSC,SelfSell,selfsell,,,,,
MPC,MPCoin,mpcoin,,,,,
RMS,Resumeo Shares,resumeo-shares,,,,,
SNOW,SnowCoin,snowcoin,,,,,
BUDDY,BUDDY,buddy,,,,,
XTD,XTD Coin,xtd-coin,,,,,
BRECO,Bitcoin Reference Line,bitcoin-reference-line,,,,A Bitcoin fork that supports encrypted reference lines,"Bitcoin Reference Line is a Bitcoin fork that provides encrypted reference lines for each transaction.
"
BTCR,Bitcurrency,bitcurrency,,,,,
RUP,Rupee,rupee,,,,,
OF,OFCOIN,ofcoin,,,,,
RLT,RouletteToken,roulettetoken,,,,,
XMS,megastake,megastake,,,,,
LTG,LiteCoinGold,litecoingold,,,,,
BRH,BRH,brh,,,,,
PDX,PDX,pdx-1,,,,,
SIGT,Signatum,signatum,,,,,
AED,United Arab Emirates Dirham,united-arab-emirates-dirham,,,,,
WIN,WinToken,wintoken,,,,,
BTCU,BitcoinUltra,bitcoinultra,,,,,
FWB,Friends With Benefits,friends-with-benefits,,,Services,A digital cornerstone between technology and culture communities,"Friends With Benefits is a private discord server. A group chat full of our favorite thinkers and creators. You can think of FWB like any other social network, it's a space that has value because of the content and ideas the users of that social network create and share.

The thing that makes Friends With Benefits different is that in order to be a part of Friends With Benefits you must own at least 60 $FWB cryptocurrency tokens."
GDL,Gondola Finance,gondola-finance,,,,,
FUZZ,FuzzBalls,fuzzballs,,,,,
DET,Diamond Exchange Token,diamond-exchange-token,,,,Native token for a digital asset exchange,Diamond Exchange Token is the native token for a digital asset exchange that also sells diamonds. 
EBCH,EBCH,ebch,,,,,
PXI,Prime-XI,prime-xi,,,,,
NZC,NewZealandCoin,newzealandcoin,,,,,
TESLA,TeslaCoilCoin,teslacoilcoin,,,,,
BTCC,Bitcoin Core,bitcoin-core,,,,A Bitcoin Clashic fork serving as a Bitcoin meme project,"Bitcoin Core is a fork of Bitcoin Clashic that claims to be ""a return to the 'Core' values of Bitcoin.""
"
VOL,Volume,volume,,,,,
FGZ,FreeGameZoneCoin,freegamezonecoin,,,,,
DEFI5,Indexed DEFI Top 5 Index,indexed-defi-top-5-index,,Asset Management,Financial,,
WTT,Giga Watt,giga-watt-1,,,,,
GBIT,GravityBit,gravitybit,,,,,
ASAFE,All Safe,all-safe,,,,,
DOLLAR,Dollar International,dollar-online,,,,,
LIEN,Lien,lien,,Derivatives,Financial,,
CAI,CAI,cai,,,,,
TKLN,Taklimakan,taklimakan,,,,,
SENTRO,Sentaro,sentaro,,,,,
DEA,DEA,dea,,,,,
HEAL,HEAL,heal,,,,,
ZXC,0xcert,0xcert-1,,,,,
YBCT,YBCT,ybct,,,,,
DELC,Delink,delink,,,,,
MARINECOIN,Marinecoin,marinecoin,,,,,
YES,YesCoin,yescoin,,,,,
ACPR,ACes Pro,aces-pro,,,,,
PRVS,PRVS,prvs,,Decentralized Exchanges,Financial,,
TLE,Tattoocoin (Limited Edition),tattoocoin-limited-edition,,,,,
ATB,ATBCoin,atbcoin,,,,,
B2X,SegWit2x,segwit2x,,,,,
HEAT,HEAT,heat,,,,,
EETT,Ethereum EncryptoTel,ethereum-encryptotel,,,,,
VERI,Veritaseum,veritaseum-1,,,,,
DAN,Dancoin,dancoin,,,,,
XGTC,GirlsTokenCoin,girlstokencoin,,,,,
FIT,FitCoin,fitcoin,,,,,
SLX,Slate,slate,,,,,
BTCRED,Bitcoin Red,bitcoin-red,,,,,
MRP,morpheus,morpheus,,,,,
RIT,Right International Media Token,right-international-media-token,,,,,
NMD,Nomad,nomad,,,,,
XNN,Xenon,xenon,,,,,
SDS,Alchemint,alchemint,,,,,
EBOX,Ethbox Token,ethbox-token,,Data Management,Services,,
UMO,UniversalMolecule,universalmolecule,,,,,
CAM,Camcoin,camcoin,,,,,
PLSR,Pulsar,pulsar-1,,,,,
PGL,ProspectorsGold,prospectorsgold,,,,,
ZYD,Zayedcoin,zayedcoin,,,,,
PCN,PeepCoin,peepcoin,,,,,
XLG,Ledgerium,ledgerium,,,,,
PAL,PAL Network,pal-network,,,,,
XBC,Bitcoin Plus,bitcoin-plus,,Payment Platforms,Payments,A Bitcoin-branded Proof-of-Stake blockchain,"Bitcoin Plus is a Bitcoin-branded Proof-of-Stake blockchain that launched via ICO. 
"
XSP,PoolStamp,poolstamp,,,,,
RISE,Rise,rise,,,,,
QTZ,Quartz,quartz,,,,,
SNIP,SnipCoin,snipcoin,,,,,
ZNE,ZoneCoin,zonecoin,,,,,
DNCV2,DronecoinV2,dronecoinv2,,,,,
COU,Couchain,couchain,,,,,
MOJO,MojoCoin,mojocoin,,,,,
BRE,Break,break,,,,,
IMP,Ethereum Kingdoms Token,ethereum-kingdoms-token,,,,,
PREMIUM,Premium BTC,premium-btc,,,,,
ZAIF,ZAIF,zaif,,,,,
ESZ,EtherSportz,ethersportz-1,,,,,
CALC,Caliphcoin,caliphcoin,,,,,
UTC,UltraCoin,ultracoin,,,,,
CFUN,CFun,cfun-1,,,,,
CONUN,CONUN,conun,,,,,
TRY,Turkish Lira,turkish-lira,,,,,
DEEP,Deep Gold,deep-gold-1,,,,,
EAGLE,EagleCoin,eaglecoin,,,,,
EDDIE,Eddiecoin,eddiecoin,,,,,
BU,BUMO,bumo,,,,,
PETH,Pooled Ether,pooled-ether,,,,,
SCRPT,ScryptCoin,scryptcoin,,,,,
GRAM,Telegram Open Network,telegram-open-network,,Smart Contract Platforms,Infrastructure,Telegram's cryptocurrency,Telegram Open Network is an ambitious project looking to solve many of the perceived problems of existing cryptonetworks while leveraging the user base of a global messaging application. 
MEK,Teky,teky,,,,,
TTY,Trinity,trinity-1,,,,,
XLTCG,Ltcgear,ltcgear,,,,,
RPC,RonPaulCoin,ronpaulcoin,,,,,
21M,21Million,21million,,,,,
OK06ETT,OK06ETT,ok06ett,,,,,
ADB,adbank,adbank-1,,,,,
LIZA,LIZA,liza,,,,,
NAT,Nature,nature,,,,,
MINEX,Minex,minex,,,,,
JS,JavaScript Token,javascript-token,,,,,
ZET2,Zeta2Coin,zeta2coin,,,,,
SKRL,Skrilla,skrilla-1,,,,,
DDF,DigitalDevelopersFund,digitaldevelopersfund,,,,,
TGAME,Truegame,truegame-1,,,,,
DLC,Dalilcoin,dalilcoin,,,,A Bitcoin airdrop forked from the Qeditas protocol,"Dalilcoin is a token airdropped to Bitcoin holders based on a fork from the Qeditas codebase.
"
IN,InCoin,incoin,,,,,
AKY,Akuya Coin,akuya-coin,,,,,
UNITY,SuperNET,supernet,,,,,
SUP,Superior Coin,superior-coin,,,,,
BITG,BitGreen,bitgreen,,,,,
BBC,TraDove B2BCoin,tradove-b2bcoin,,,,,
GGT,Global Gold Token,global-gold-token,,,,,
VIP,VIP Tokens,vip-tokens,,,,,
POLA,Polaris Share Coin,polaris-share-coin,,Content Creation and Distribution,Infrastructure,,
BLUE,Blue Protocol,blue-protocol,,,,,
GTFO,Gotfomo,gotfomo,,,,,
PIO,Pioneershares,pioneershares,,,,,
MBI,Monster Byte,monster-byte,,,,,
MCOIN,MCOIN,mcoin,,,,,
MESH,MeshBox,meshbox,,,,,
XNO,Xeno Token,xeno-token,,Tokenization,Infrastructure,,
REF,RefToken,reftoken-1,,,,,
NMX,Nominex,nominex,,,,,
WLC,WirelessCoin,wirelesscoin,,,,,
ACLR,Accelerate,accelerate,,,,,
SLR,SolarCoin,solarcoin,,,,,
IBITS,IBITS,ibits,,,,,
CAZ,Cazcoin,cazcoin,,,,,
SOIL,SOILcoin,soilcoin,,,,,
BTGET,BTGET,btget,,,,,
BCZ,Bitcoin Cash Zero,bitcoin-cash-zero,,,,A Proof-of-Stake triple-chain fork of Bitcoin Cash,"Bitcoin Cash Zero is a Proof-of-Stake fork of Bitcoin Cash focused on privacy features. 
"
BCL,Bitcoin Cloud,bitcoin-cloud,,,,A Bitcoin fork for counteracting the Lightning Network,"Bitcoin Cloud is a Bitcoin fork designed to counter the protocol design of the Lightning Network. 
"
VONE,Vone,vone,,,,,
SIGMA,SIGMAcoin,sigmacoin,,,,,
MASS,Mass.Cloud,mass-cloud,,,,,
EPS,Ellipsis,ellipsis,,Decentralized Exchanges,Financial,,
DIVI,Divi,the-divi-project,,Wallet,Services,,"Divi is a Proof-of-Stake (PoS) protocol focused on making token-based finances easier. The project offers several financial services through its network, including a digital wallet, a currency exchange, a debit card (Divi Card), and the ability to earn DIVI tokens (the native token of the Divi protocol). It aims to leverage these various financial services to help lower the learning curve associated with adopting and using crypto."
TIE,Ties.DB,ties-db,,,,,
EUROP,EuropeUnited,europeunited,,,,,
BTCA,Bitair,bitair-1,,,,,
TCN,TCOIN,tcoin,,,,,
BONPEKAO,Bon PeKaO,bon-pekao,,,,,
MARV,Marvelous,marvelous,,,,,
FIRST,Harrison First,harrison-first,,,,,
LEDU,Education Ecosystem,education-ecosystem,,,,,
RIO,RIO,rio,,,,,
FID,Fidelium,fidelium,,,,,
SHIT,Shitcoin,shitcoin,,,,,
STS,STRESScoin,stresscoin,,,,,
BVB,BVBCoin,bvbcoin,,,,,
LEPEN,LePenCoin,lepencoin,,,,,
DDM,DDMCoin,ddmcoin,,,,,
MTNC,Masternodecoin,masternodecoin,,,,,
TURBO,TurboCoin,turbocoin,,,,,
CUBE,DigiCube,digicube,,,,,
ACCL,Accelerator,accelerator,,,,,
GPL,Gold Pressed Latinum,gold-pressed-latinum,,,,,
CHEMX,CHEMX,chemx,,,,,
ROM,ROMToken,romtoken,,,,,
NXE,NXEcoin,nxecoin,,,,,
NYX,NYXCOIN,nyxcoin,,,,,
GSR,GeyserCoin,geysercoin,,,,,
MRV,Macroverse,macroverse-1,,,,,
CUBITS,Cubits,cubits,,,,,
TRNC,TRNC,trnc,,,,,
USA,USACoin,usacoin,,,,,
GHSC,GigaHashes,gigahashes,,,,,
CTR,Centra token,centra-token,,,,,
777,777,777,,,,,
MRB,Marbles,marbles,,,,,
PIGGY,Piggycoin,piggycoin,,,,,
HOPR,HOPR,hopr,,Data Management,Infrastructure,Changing Data Privacy For Good,"The HOPR network is an open and incentivized ""mix network"" that provides network-level metadata privacy for the users of the web. HOPR is developing a decentralized marketplace connecting individuals who want to monetize their unused internet bandwidth with those who have demand for metadata private internet bandwidth."
ROCKET,ROCKET,rocket,,,,,
XPT,XPT,xpt,,,,,
FTCC,FeatherCoinClassic,feathercoinclassic,,,,,
AMMO,Ammo Reloaded,ammo-reloaded,,,,,
SKB,Sakura Bloom,sakura-bloom,,,,,
GRPH,Graphcoin,graphcoin,,,,,
1ST,FirstBlood,firstblood,,Gaming,Media and Entertainment,eSports betting,FirstBlood is a decentralized eSports platform utilizing the power of smart contracts. 
ETRUST,Entrust,entrust,,,,,
ACC,ACChain,acchain-1,,,,,
HAMS,HamsterCoin,hamstercoin,,,,,
BKCAT,BlockCat,blockcat-1,,,,,
ZJLT,ZJLT,zjlt,,,,,
NBIT,netBit,netbit,,,,,
MOD,Modum,modum-1,,,,,
LOKI,Loki,loki,,Application Development,Infrastructure,,
HZ,Horizon,horizon,,,,,
POST,PostCoin,postcoin,,,,,
CREVA,CrevaCoin,crevacoin,,,,,
INN,Innova,innova,,,,,
SHORTY,ShortyCoin,shortycoin,,,,,
STAC,StarterCoin,startercoin,,,,,
IMPS,Impulse Coin,impulse-coin,,,,,
ZSE,ZSEcoin,zsecoin,,,,,
NDX,NDX,ndx,,Asset Management,Financial,,
LBTCX,Lightning Bitcoin,lightning-bitcoin-2,,,,,
DDD,Scry.info,scry-info,,,,,
GUC,GUC,guc,,,,,
BTP,Bitcoin Platinum,bitcoin-platinum,,,,A Bitcoin fork with the most Proof-of-Work algorithms,"Bitcoin Platinum is a Bitcoin fork focused on decentralization and fair distribution. 
"
GEMZ,Gemz Social,gemz-social,,,,,
VEF,Venezuelan Bolivar,venezuelan-bolivar,,,,,
SEV,Seven,seven,,,,,
SFT,Safex Token,safex-token,,,,,
BIXC,Bixc,bixc,,,,,
BITSILVER,bitSilver,bitsilver,,,,,
RUBBLECOIN,RubbleCoin,rubblecoin,,,,,
ACO,A!Coin,a-coin,,,,,
IFOOD,Ifoods Chain,ifoods-chain,,,,,
NET,Nimiq Exchange Token,nimiq-exchange-token,,,,,
TBS,The Basis,the-basis,,,,,
TING,Tingles,tingles,,,,,
HDAC,Hyundai DAC,hyundai-dac,,,,,
HCP,HCP,hcp,,,,,
RADI,RadicalCoin,radicalcoin,,,,,
ALLI,Allion,allion,,,,,
ARTE,Artemine,artemine-1,,,,,
EGCC,Engine,engine,,,,,
HALLO,Halloween Coin,halloween-coin,,,,,
TAK,TakCoin,takcoin,,,,,
STORE,Storecoin,storecoin,,,,Zero-fee payments and p2p cloud computing (with datacoins),"Through its zero-fee settlement layer, the STORE token aims to become the dominant zero-fee cryptocurrency for the public internet. Through the Store p2p cloud, a new computing platform powered by open and tokenized data emerges. Not only do developers get paid when the Google's of the world want to query/crawl/ search their data, developers can quickly build new apps and ML/AI services with the open data streams and open APIs of other developers. On the STORE cloud, 1 MB of data = 1 datacoin emitted by tokenized apps (called tApps). Governance will be coordinated by checks and balances, separation of powers, and shared security (decentralized federalism).
"
TCC,The ChampCoin,the-champcoin,,,,,
VIPS,Vipstar Coin,vipstar-coin,,,,,
OCOW,One One World,one-one-world,,,,,
MONETA,Moneta,moneta,,,,,
NBAI,Nebula AI,nebula-ai-1,,,,,
EMB,EmberCoin,embercoin,,,,,
ERC,EuropeCoin,europecoin,,,,,
CS,Credits,credits,,Smart Contract Platforms,Infrastructure,,Credits is an open-source and decentralized blockchain platform for the development and execution of smart contracts and decentralized applications.
SDRN,Senderon,senderon,,,,,
YMC,YamahaCoin,yamahacoin,,,,,
POOL,PoolTogether,pooltogether,,Rewards,Financial,No-loss prize games,PoolTogether is a protocol that enables the creation of “no-loss” lotteries. 
CCRB,CryptoCarbon,cryptocarbon,,,,,
LOYAL,LOYAL,loyal,,,,,
DALC,Dalecoin,dalecoin,,,,,
BAKED,BAKEDcoin,bakedcoin,,,,,
MEX,MEX,mex,,,,,
CYG,Cygnus,cygnus,,,,,
PARA,ParanoiaCoin,paranoiacoin,,,,,
